id,message,location,created_at
1," I love her humor, her grace and her heart! ",0101000020E6100000BCCFF1D1E2AC3340C64E78094E953140,2022-04-12 14:27:36
2,"Ok, a few more... sorry I just had so much fun that day ",0101000020E61000004A287D21E4AC334090D959F44E953140,2022-04-12 14:27:36
3,This was one of my favorite shoots I have ever done!,0101000020E61000000F5EBBB4E1AC3340EFE192E34E953140,2022-04-12 14:27:36
4,Wrapped round my finger like a ring,0101000020E6100000F701486DE2AC334038F6ECB94C953140,2022-04-12 14:27:36
5,Yesterday was so much fun!! has been such a huge figure in my life.,0101000020E6100000F3ACA415DFAC3340AF5A99F04B953140,2022-04-12 14:27:36
6,Well..,0101000020E6100000F969DC9BDFAC3340AF5A99F04B953140,2022-04-12 14:27:36
7,Its officially out! I was a bit embarrassed asking so often,0101000020E610000052B5DD04DFAC3340FE2B2B4D4A953140,2022-04-12 14:27:36
8," I love her humor, her grace and her heart! ",0101000020E6100000BCCFF1D1E2AC3340C64E78094E953140,2022-04-12 14:27:36
9,"Ok, a few more... sorry I just had so much fun that day ",0101000020E61000004A287D21E4AC334090D959F44E953140,2022-04-12 14:27:36
10,This was one of my favorite shoots I have ever done!,0101000020E61000000F5EBBB4E1AC3340EFE192E34E953140,2022-04-12 14:27:36
11,Wrapped round my finger like a ring,0101000020E6100000F701486DE2AC334038F6ECB94C953140,2022-04-12 14:27:36
12,Yesterday was so much fun!! has been such a huge figure in my life.,0101000020E6100000F3ACA415DFAC3340AF5A99F04B953140,2022-04-12 14:27:36
13,Well..,0101000020E6100000F969DC9BDFAC3340AF5A99F04B953140,2022-04-12 14:27:36
14,Its officially out! I was a bit embarrassed asking so often,0101000020E610000052B5DD04DFAC3340FE2B2B4D4A953140,2022-04-12 14:27:36
15,I hope you guys are liking the album!,0101000020E610000026529ACDE3AC33402D7C7DAD4B953140,2022-04-12 14:27:36
16,Did it again ?,0101000020E610000004E44BA8E0AC33409696917A4F953140,2022-04-12 14:27:36
17,R.A.R.E,0101000020E61000004A287D21E4AC33403C4B901150953140,2022-04-12 14:27:36
18,Had so much fun at the premiere this morning,0101000020E6100000BCCFF1D1E2AC3340787DE6AC4F953140,2022-04-12 14:27:36
19,So my rare video is out!,0101000020E6100000E8323509DEAC334031D120054F953140,2022-04-12 14:27:36
20,HERE IT IS!!! My album is officially out in the universe.,0101000020E61000004B901150E1AC3340BC3C9D2B4A953140,2022-04-12 14:27:36
21,There must be a sweeter place.,0101000020E61000004A287D21E4AC3340EFE192E34E953140,2022-04-12 14:27:36
